date,ldj,lftse
1996m2,8.6098852,8.2235203
1996m3,8.6282225,8.2160072
1996m4,8.6249847,8.2474556
1996m5,8.6382027,8.2289248
1996m6,8.6402302,8.2190571
1996m7,8.6177464,8.2169523
1996m8,8.6334124,8.2603893
1996m9,8.6796808,8.2824068
1996m10,8.7043991,8.2888107
1996m11,8.7828903,8.3084459
1996m12,8.7715673,8.3232441
1997m1,8.826601,8.3607264
1997m2,8.8360453,8.3682985
1997m3,8.7923183,8.3693657
1997m4,8.85495,8.3975086
1997m5,8.8998671,8.4384317
1997m6,8.9454365,8.4348106
1997m7,9.0146418,8.4985199
1997m8,8.9388466,8.48001
1997m9,8.9803362,8.5648785
1997m10,8.9149084,8.4851446
1997m11,8.9648361,8.4829741
1997m12,8.975668,8.5439329
1998m1,8.97544,8.604929
1998m2,9.0531855,8.6599588
1998m3,9.0824852,8.6881504
1998m4,9.1119967,8.6875095
1998m5,9.0938005,8.6777296
1998m6,9.0996342,8.6712179
1998m7,9.0919275,8.6719894
1998m8,8.9278545,8.5658693
1998m9,8.9673281,8.5299911
1998m10,9.0585985,8.6012402
1998m11,9.1178465,8.6558933
1998m12,9.124938,8.6797543
1999m1,9.1440754,8.6820297
1999m2,9.1384773,8.7282801
1999m3,9.1887245,8.7475586
1999m4,9.2862864,8.7875566
1999m5,9.2648039,8.7365217
1999m6,9.3029928,8.7512369
1999m7,9.2737989,8.7374363
1999m8,9.2900085,8.7397604
1999m9,9.2434797,8.7044687
1999m10,9.2807856,8.7412481
1999m11,9.2944803,8.7944002
1999m12,9.3498516,8.8436441
2000m1,9.3002291,8.7432928
2000m2,9.2230902,8.7375488
2000m3,9.2985268,8.7857227
2000m4,9.2811632,8.7526445
2000m5,9.2612553,8.7576895
2000m6,9.2541552,8.7503185
2000m7,9.2612219,8.7586164
2000m8,9.325016,8.8057795
2000m9,9.2734013,8.7473841
2000m10,9.3030233,8.7700357
2000m11,9.2509537,8.7229385
2000m12,9.2861891,8.7359266
2001m1,9.2953577,8.7479076
2001m2,9.2586813,8.6857367
2001m3,9.198144,8.6365213
2001m4,9.2812614,8.6939993
2001m5,9.2976131,8.664958
2001m6,9.2593594,8.6380825
2001m7,9.2613001,8.6177807
2001m8,9.2053022,8.5839167
2001m9,9.0878973,8.4976845
2001m10,9.1132936,8.5251017
2001m11,9.195385,8.557106
2001m12,9.2124949,8.5597544
2002m1,9.2023087,8.5496216
2002m2,9.2208977,8.5371923
2002m3,9.2499399,8.5701275
2002m4,9.2049475,8.549777
2002m5,9.202837,8.53407
2002m6,9.13165,8.4459982
2002m7,9.0752754,8.3537798
2002m8,9.0668745,8.3493185
2002m9,8.9348412,8.2219629
2002m10,9.0356331,8.3039255
2002m11,9.0933676,8.3355274
2002m12,9.0290136,8.2790375
2003m1,8.9939003,8.1795921
2003m2,8.9734879,8.2040157
2003m3,8.9862127,8.1923771
2003m4,9.045476,8.2753763
2003m5,9.0882025,8.3060026
2003m6,9.1033611,8.3018198
2003m7,9.1306257,8.3325491
2003m8,9.1501465,8.3335352
2003m9,9.1350842,8.316618
2003m10,9.1902523,8.3634825
2003m11,9.1883459,8.3762283
2003m12,9.2547321,8.4066858
2004m1,9.2579937,8.3872442
2004m2,9.2670908,8.4100981
2004m3,9.2454853,8.3861046
2004m4,9.2326469,8.4095411
2004m5,9.2290096,8.3963127
2004m6,9.2529669,8.4038229
2004m7,9.2242146,8.392333
2004m8,9.2275829,8.4027472
2004m9,9.2183352,8.4274435
2004m10,9.2130833,8.4390583
2004m11,9.2522516,8.4559984
2004m12,9.2857265,8.4793463
2005m1,9.258172,8.4872084
2005m2,9.2841702,8.5108728
2005m3,9.2594881,8.4958467
2005m4,9.2294083,8.4767256
2005m5,9.2560282,8.5099669
2005m6,9.2374659,8.5395803
2005m7,9.2724609,8.5721169
2005m8,9.2573767,8.5748768
2005m9,9.2656517,8.6084404
2005m10,9.2534065,8.578721
2005m11,9.2878447,8.5984411
2005m12,9.2796335,8.633873
2006m1,9.2932892,8.6587448
2006m2,9.3050508,8.6641464
2006m3,9.3155394,8.6935968
2006m4,9.3384819,8.7033577
2006m5,9.3208351,8.6523886
2006m6,9.3192148,8.6713552
2006m7,9.3223896,8.6874924
2006m8,9.3397141,8.6837406
2006m9,9.3655539,8.6929598
2006m10,9.3993673,8.7208195
2006m11,9.4109869,8.7076321
2006m12,9.4305315,8.7356539
2007m1,9.4431725,8.7328043
2007m2,9.4148006,8.7276974
2007m3,9.4217634,8.7495737
2007m4,9.4775324,8.7717113
2007m5,9.5198555,8.7980776
2007m6,9.5036535,8.7960215
2007m7,9.4888802,8.7577991
2007m8,9.4998512,8.7488289
2007m9,9.5393295,8.774437
2007m10,9.5418005,8.8130817
2007m11,9.5008974,8.7691183
2007m12,9.4928703,8.7729044
2008m1,9.4454412,8.6792784
2008m2,9.4146185,8.6800432
2008m3,9.4143333,8.6485901
2008m4,9.4587717,8.7139597
2008m5,9.4444885,8.7083921
